aabits	dom neutr	aabits;aabitsaraamat;0	0
aadress	dom neutr	aadress;0	0
aadress	dom neutr	võrguaadress;aadress;0	0
aadress	dom neutr	aadress;0	0
aadress	dom neutr	aadress;0.125	0.25
aastane	dom neutr	iga-aastane;aastane;0	0
aastapäev	dom neutr	aastapäev;0	0
abi	dom pos	abi;abistamine;aitamine;abistus;0.5	0
abi	dom pos	kasu;abi;0.5	0
abi	dom pos	asetäitja;abi;0.125	0
abielu	vastuolu	abielu;0	0
abielupaar	vastuolu	abielupaar;abikaasad;0	0
abikaasa	vastuolu	abikaasa;naine;abielunaine;0	0
abikaasa	vastuolu	abikaasa;kaasa;0	0
abikaasa	vastuolu	mees;abikaasa;abielumees;0	0
abiline	dom pos	assistent;abiline;assisteerija;0	0
abiline	dom pos	abiline;vaataja;0	0
abivalmis	dom pos	abivalmis;vastutulelik;abistav;toetav;0.25	0
administraator	dom neutr	haldur;administraator;0	0
administraator	dom neutr	superviisor;haldur;administraator;0	0
aed	dom neutr	aed;tarastus;0	0
aedvili	dom neutr	aedvili;0	0
aeg	dom neutr	aeg;tempus;0	0
aeg	dom neutr	epohh;ajastu;aeg;ajajärk;0	0
aeg	dom neutr	aeg;0	0
aeglane	dom neg	aeglane;0	0
aeglane	dom neg	aeglane;pikaldane;pikatoimeline;flegmaatiline;0.625	0
aeroobika	dom neutr	aeroobika;sportaeroobika;0	0
ahi	dom neutr	ahi;0	0
aiandus	dom neutr	aiandus;0	0
aim	dom neutr	aimus;aimdus;aim;eelaimus;aimamine;0	0
aine	dom neutr	aine;mateeria;ollus;0	0
aine	dom neutr	koostisosa;koostisaine;aine;ingredient;0	0
ainuke	dom neutr	üksik;ainus;ainuke;üksainus;ainsam;ainuline;ainukordne;haruldane;0	0
ainuke	dom neutr	ainus;ainuke;välistav;0	0.75
ainus	dom neutr	üksik;ainus;ainuke;üksainus;ainsam;ainuline;ainukordne;haruldane;0	0
ainus	dom neutr	ainus;ainuke;välistav;0	0.75
aitama	dom pos	jätkuma;piisama;jaguma;aitama;mõikama;avitama;küündima;0	0.5
aitäh	dom pos	tänusõna;tänamissõna;aitüma;aituma;aitäh;0.125	0
ajakiri	dom neutr	ajakiri;0	0
ajakirjandus	dom neutr	ajakirjandus;press;0	0
ajakirjanik	dom neutr	ajakirjanik;žurnalist;0	0
ajaleht	dom neutr	ajaleht;leht;0	0
ajaloolane	dom neutr	ajaloolane;ajaloouurija;0	0
ajalooline	dom neutr	ajalooline;0	0
ajalugu	dom neutr	ajalugu;0	0
ajalugu	dom neutr	ajalugu;0	0
ajalugu	dom neutr	ajalugu;ajalooteadus;0	0
ajama	dom neutr	ajama;0	0
ajama	dom neutr	ajama;0	0
ajama	dom neutr	ajama;0	0
ajama	dom neutr	ajama;0	0
ajama	dom neutr	ajama;0.125	0
ajama	dom neutr	ajama;raseerima;epileerima;0	0
ajastu	dom neutr	ajastu;ajajärk;epohh;0	0
ajastu	dom neutr	epohh;ajastu;aeg;ajajärk;0	0
ajastu	dom neutr	ajastu;0	0
ajavahemik	dom neutr	intervall;vahemik;ajavahemik;0.5	0
ajavahemik	dom neutr	ajavahemik;periood;0.125	0.125
aju	dom neutr	aju;peaaju;0	0
aju	dom neutr	aju;mõistus;pea;nutt;nupp;0.25	0
aju	dom neutr	tark;tarkpea;nupumees;aju;0.375	0
aju	dom neutr	aju;0	0
aju	dom neutr	aju;0.125	0
ajutine	dom neutr	ajutine;0.5	0.125
aken	dom neutr	aken;0	0
aken	dom neutr	aken;0.125	0.125
akt	dom neutr	tegu;toiming;akt;inimtegevus;0	0
akt	dom neutr	aktimaal;akt;0	0
akt	dom neutr	akt;0	0
akt	dom neutr	toimik;akt;0	0
aktiivne	dom pos	intensiivne;aktiivne;äge;0.375	0.375
aktiivne	dom pos	aktiivne;energiline;elav;0	0
aktiivne	dom pos	aktiivne;vilgas;reibas;0.5	0.125
aktiivne	dom pos	aktiivne;mõjuv;toimiv;0.375	0.5
aktiivne	dom pos	aktiivne;tegev;0	0
aktiivsus	dom pos	aktiivsus;tegutsemisind;0.125	0
aku	dom neutr	aku;akumulaator;0	0
aku	dom neutr	autoaku;aku;0	0
ala	dom neutr	alalõpmata;ala;alalõpmatult;0.125	0
ala	dom neutr	ala;piirkond;0	0
ala	dom neutr	pind;pindala;ala;0	0
ala	dom neutr	ala;0	0
ala	dom neutr	ala;0	0
alaline	dom neutr	alaline;regulaar-;tegev-;0	0.625
alaline	dom neutr	alaline;regulaarne;püsi-;0	0
alaline	dom neutr	alaline;0	0
alandama	dom neg	alandama;degradeerima;0	0.375
alarm	vastuolu	alarm;häire;0	0
